lon,lat,Y,lambda_est,sigma_ou_sq_est,sigma_i_sq
-38.0000000000,30.1000003815,0.0000004179,0.5658981732,0.0510961153,0.0452460330
-38.0000000000,30.2000007629,-0.0000009930,0.5584427656,0.0505745113,0.0453817320
-38.0000000000,30.2999992371,0.0000001929,0.5511831652,0.0502283871,0.0456641521
-38.0000000000,30.3999996185,-0.0000005286,0.5441792389,0.0500572585,0.0460933556
-38.0000000000,30.5000000000,-0.0000006358,0.5369447721,0.0497960821,0.0464698360
-38.0000000000,30.6000003815,-0.0000011823,0.5293044620,0.0493781790,0.0467444009
-38.0000000000,30.7000007629,0.0000001607,0.5219468542,0.0491308048,0.0471649497
-38.0000000000,30.7999992371,0.0000004322,0.5149218489,0.0490531139,0.0477316105
-38.0000000000,30.8999996185,0.0000001072,0.5084250708,0.0490802974,0.0483669917
-38.0000000000,31.0000000000,-0.0000000893,0.5031322657,0.0488747433,0.0486704720
-38.0000000000,31.1000003815,0.0000006929,0.4980772798,0.0487942658,0.0490826256
-38.0000000000,31.2000007629,0.0000007679,0.4932797360,0.0488382541,0.0496036087
-38.0000000000,31.2999992371,0.0000006608,0.4887558002,0.0490062200,0.0502336454
-38.0000000000,31.3999996185,0.0000004108,0.4860643567,0.0488896295,0.0503913131
-38.0000000000,31.5000000000,0.0000002822,0.4837596214,0.0487997159,0.0505379797
-38.0000000000,31.6000003815,-0.0000006358,0.4815936313,0.0487980731,0.0507631213
-38.0000000000,31.7000007629,0.0000008930,0.4795719533,0.0488845296,0.0510668354
-38.0000000000,31.7999992371,0.0000002250,0.4793174234,0.0488345511,0.0510417650
-38.0000000000,31.8999996185,0.0000000214,0.4803126684,0.0487580933,0.0508566180
-38.0000000000,32.0000000000,0.0000003107,0.4814922118,0.0488120131,0.0507882686
-38.0000000000,32.0999984741,0.0000002965,0.4828507441,0.0489964485,0.0508366398
-38.0000000000,32.2000007629,0.0000000786,0.4849338101,0.0491859429,0.0508140787
-38.0000000000,32.2999992371,-0.0000000964,0.4881941826,0.0493009686,0.0505931955
-38.0000000000,32.4000015259,-0.0000004108,0.4916435085,0.0495743454,0.0505169632
-38.0000000000,32.5000000000,0.0000003429,0.4952584146,0.0500065386,0.0505852993
-38.0000000000,32.5999984741,-0.0000001536,0.4987169896,0.0505057387,0.0507356709
-38.0000000000,32.7000007629,-0.0000004072,0.5003143712,0.0505479760,0.0506162144
-38.0000000000,32.7999992371,-0.0000002857,0.5018117747,0.0506877862,0.0506047796
-38.0000000000,32.9000015259,-0.0000001536,0.5031974290,0.0509249642,0.0507013756
-38.0000000000,33.0000000000,0.0000002893,0.5044623600,0.0512595177,0.0509060876
-38.0000000000,33.0999984741,0.0000002715,0.5002959130,0.0504344516,0.0505046208
-38.0000000000,33.2000007629,0.0000002750,0.4955624849,0.0496339351,0.0501783822
-38.0000000000,33.2999992371,0.0000001072,0.4906745948,0.0489480421,0.0499783131
-38.0000000000,33.4000015259,0.0000022717,0.4856748928,0.0483773164,0.0499042180
-38.0000000000,33.5000000000,0.0000006608,0.4778050314,0.0471479371,0.0494380501
-38.0000000000,33.5999984741,-0.0000000036,0.4690042530,0.0458367839,0.0489660643
-38.0000000000,33.7000007629,-0.0000005322,0.4602974094,0.0447094142,0.0486657896
-38.0000000000,33.7999992371,0.0000002643,0.4517752290,0.0437655561,0.0485373127
-38.0000000000,33.9000015259,0.0000011751,0.4448618603,0.0428955443,0.0483122071
-38.0000000000,34.0000000000,0.0000003500,0.4391697505,0.0421425141,0.0480797551
-38.0000000000,34.0999984741,-0.0000012573,0.4337970091,0.0415844470,0.0480307673
-38.0000000000,34.2000007629,0.0000005608,0.4287885388,0.0412199982,0.0481656482
-38.0000000000,34.2999992371,0.0000006644,0.4264630389,0.0411399230,0.0483338670
-38.0000000000,34.4000015259,0.0000010358,0.4273645503,0.0413472690,0.0484747060
-38.0000000000,34.5000000000,0.0000007572,0.4286269985,0.0417203344,0.0487674131
-38.0000000000,34.5999984741,-0.0000006822,0.4302370768,0.0422594436,0.0492118105
-38.0000000000,34.7000007629,-0.0000004179,0.4341155854,0.0430269502,0.0496570208
-38.0000000000,34.7999992371,0.0000001643,0.4423836681,0.0440765359,0.0499170921
-38.0000000000,34.9000015259,-0.0000000071,0.4509321698,0.0452721789,0.0502984356
-38.0000000000,35.0000000000,-0.0000002000,0.4597078543,0.0466150045,0.0508006832
-38.0000000000,35.0999984741,0.0000005822,0.4696121723,0.0480868667,0.0512984884
-38.0000000000,35.2000007629,-0.0000005929,0.4830791159,0.0496497639,0.0514888535
-38.0000000000,35.2999992371,0.0000000357,0.4966342371,0.0513756834,0.0518238639
-38.0000000000,35.4000015259,0.0000005358,0.5101284234,0.0532619432,0.0523044457
-38.0000000000,35.5000000000,0.0000003072,0.5232101349,0.0552065969,0.0528575759
-38.0000000000,35.5999984741,0.0000014216,0.5347896149,0.0566872060,0.0530995389
-38.0000000000,35.7000007629,0.0000006251,0.5459977496,0.0583055355,0.0534935676
-38.0000000000,35.7999992371,0.0000005536,0.5566937972,0.0600574687,0.0540412052
-38.0000000000,35.9000015259,0.0000006429,0.5665507279,0.0618588701,0.0546925255
-38.0000000000,36.0000000000,-0.0000008965,0.5735597544,0.0628332719,0.0548748264
-38.0000000000,36.0999984741,0.0000007608,0.5801026554,0.0639159158,0.0551901769
-38.0000000000,36.2000007629,0.0000000679,0.5861138052,0.0651048347,0.0556394142
-38.0000000000,36.2999992371,0.0000000500,0.5914298512,0.0663541034,0.0561963428
-38.0000000000,36.4000015259,0.0000008715,0.5935110372,0.0665835440,0.0561929282
-38.0000000000,36.5000000000,0.0000003358,0.5951827823,0.0669148415,0.0563136906
-38.0000000000,36.5999984741,0.0000008108,0.5964315638,0.0673475787,0.0565587648
-38.0000000000,36.7000007629,-0.0000002607,0.5972222479,0.0678630620,0.0569155844
-38.0000000000,36.7999992371,-0.0000004643,0.5961744030,0.0675063133,0.0567162460
-38.0000000000,36.9000015259,-0.0000001964,0.5948638705,0.0672735497,0.0566453317
-38.0000000000,37.0000000000,-0.0000011358,0.5933013385,0.0671649575,0.0567027355
-38.0000000000,37.0999984741,0.0000004572,0.5915005719,0.0671658218,0.0568757877
-38.0000000000,37.2000007629,0.0000004500,0.5895553224,0.0665641874,0.0565528763
-38.0000000000,37.2999992371,0.0000000786,0.5875974446,0.0661233887,0.0563658920
